nom_commune_ban,etiquette_ges,annee_construction,_geopoint,type_batiment,date_etablissement_dpe,code_postal_ban,etiquette_dpe,_score,nom_rue_ban,numero_voie_ban,adresse_complete,point,geometry,index_right,gid
Bordeaux,A,2025,"44.858567033244924,-0.5736810106592525",maison,2025-04-09,33000,A,,,,nan 33000 Bordeaux,"(-0.5736810106592525, 44.858567033244924)",POINT (-0.5736810106592525 44.858567033244924),197.0,663306
Bordeaux,A,2025,"44.81954003418872,-0.5454199915233117",appartement,2025-05-19,33000,A,,,,nan 33000 Bordeaux,"(-0.5454199915233117, 44.81954003418872)",POINT (-0.5454199915233117 44.81954003418872),778.0,650372
Bordeaux,A,2023,"44.82640503949332,-0.5805869878550552",appartement,2023-12-18,33000,B,,Rue de Saint Genès,,Rue de Saint Genès 33000 Bordeaux,"(-0.5805869878550552, 44.82640503949332)",POINT (-0.5805869878550552 44.82640503949332),460.0,653824
Bordeaux,B,2023,"44.8384280122197,-0.601067001367873",appartement,2023-05-15,33000,B,,Rue Bernard Adour,22,22 Rue Bernard Adour 33000 Bordeaux,"(-0.601067001367873, 44.8384280122197)",POINT (-0.601067001367873 44.8384280122197),127.0,658521
Bordeaux,A,2026,"44.83212704475199,-0.6087419892507848",maison,2026-01-08,33000,A,,Rue Sainte-Monique,55,55 Rue Sainte-Monique 33000 Bordeaux,"(-0.6087419892507848, 44.83212704475199)",POINT (-0.6087419892507848 44.83212704475199),196.0,656794
Bordeaux,C,2022,"44.82678796489815,-0.5670509692403045",appartement,2022-09-27,33800,C,,Rue Jules Steeg,5,5 Rue Jules Steeg 33800 Bordeaux,"(-0.5670509692403045, 44.82678796489815)",POINT (-0.5670509692403045 44.82678796489815),670.0,653205
Bordeaux,A,2021,"44.883181003267204,-0.5706780329610546",appartement,2024-07-23,33300,A,,Avenue des Quarante Journaux,,Avenue des Quarante Journaux 33300 Bordeaux,"(-0.5706780329610546, 44.883181003267204)",POINT (-0.5706780329610546 44.883181003267204),751.0,670498
Bordeaux,A,2022,"44.83024796156283,-0.5815310275751673",appartement,2022-05-11,33000,A,,Rue Amédée Saint-Germain,,Rue Amédée Saint-Germain 33000 Bordeaux,"(-0.5815310275751673, 44.83024796156283)",POINT (-0.5815310275751673 44.83024796156283),416.0,655073
Bordeaux,A,2024,"44.82640503949332,-0.5805869878550552",appartement,2024-07-01,33000,A,,Rue de Saint Genès,,Rue de Saint Genès 33000 Bordeaux,"(-0.5805869878550552, 44.82640503949332)",POINT (-0.5805869878550552 44.82640503949332),460.0,653824
Bordeaux,A,2024,"44.83902403397704,-0.5533079881847214",appartement,2024-10-15,33100,A,,Rue Henri Dunant,,Rue Henri Dunant 33100 Bordeaux,"(-0.5533079881847214, 44.83902403397704)",POINT (-0.5533079881847214 44.83902403397704),498.0,656813
