gid,insee,nb_ind,nb_men,nb_men_pauv,nb_men_1ind,nb_men_5ind,nb_men_prop,nb_men_monop,nv_ind,surf_log,nb_men_hab_col,nb_men_hab_ind,nb_log_av45,nb_log_45_70,nb_log_70_90,nb_log_ap90,nb_log_soc,nb_ind_0_3,nb_ind_4_5,nb_ind_6_10,nb_ind_11_17,nb_ind_18_24,nb_ind_25_39,nb_ind_40_54,nb_ind_55_64,nb_ind_65_79,nb_ind_80p,polygone,geometry,nom_quartier_parent
653206,['33063'],477.5,284.0,55.0,162.0,6.0,111.0,29.0,11341175.3,17524.0,229.0,55.0,144.0,3.0,87.0,48.0,0.0,35.5,6.0,7.0,22.0,57.0,133.0,80.0,47.0,64.0,26.0,"[(-0.5664016, 44.8255063), (-0.5638966, 44.8257607), (-0.5642353, 44.8275432), (-0.5667404, 44.8272888), (-0.5664016, 44.8255063)]","POLYGON ((-0.5664016 44.8255063, -0.5638966 44.8257607, -0.5642353 44.8275432, -0.5667404 44.8272888, -0.5664016 44.8255063))",Bordeaux Sud
653208,['33063'],999.0,464.0,116.0,188.0,36.0,91.0,84.0,18903462.8,31204.0,395.0,69.0,108.0,2.0,7.0,346.0,306.0,65.0,30.0,58.0,65.0,78.0,247.0,196.0,105.0,98.0,56.0,"[(-0.5613915, 44.826015), (-0.5588865, 44.8262693), (-0.559225, 44.8280518), (-0.5617302, 44.8277975), (-0.5613915, 44.826015)]","POLYGON ((-0.5613915 44.826015, -0.5588865 44.8262693, -0.559225 44.8280518, -0.5617302 44.8277975, -0.5613915 44.826015))",Bordeaux Sud
668359,['33063'],27.0,11.5,2.3,4.0,0.6,6.9,1.1,623219.3,907.1,1.2,10.3,7.5,1.1,1.2,1.7,0.0,0.6,0.6,1.1,2.3,4.0,5.7,4.0,5.2,0.6,2.9,"[(-0.5555018, 44.875667), (-0.5529945, 44.8759211), (-0.5533333, 44.8777036), (-0.5558407, 44.8774494), (-0.5555018, 44.875667)]","POLYGON ((-0.5555018 44.875667, -0.5529945 44.8759211, -0.5533333 44.8777036, -0.5558407 44.8774494, -0.5555018 44.875667))",Bordeaux Maritime
667243,['33063'],147.0,60.0,7.0,20.0,5.0,34.0,7.0,3518491.2,4894.0,25.0,35.0,35.0,21.0,2.0,2.0,2.0,12.0,4.0,8.5,14.5,7.0,30.0,36.0,15.0,16.0,4.0,"[(-0.5473025, 44.8728643), (-0.5447953, 44.8731183), (-0.5451339, 44.8749008), (-0.5476411, 44.8746468), (-0.5473025, 44.8728643)]","POLYGON ((-0.5473025 44.8728643, -0.5447953 44.8731183, -0.5451339 44.8749008, -0.5476411 44.8746468, -0.5473025 44.8728643))",Bordeaux Maritime
663879,['33063'],1192.0,490.0,177.0,177.0,61.0,0.0,118.0,17860314.4,29663.0,490.0,0.0,0.0,489.0,0.0,1.0,489.0,79.0,43.0,96.0,138.5,76.5,226.0,233.0,109.0,124.0,66.0,"[(-0.5803632, 44.8586084), (-0.5778567, 44.8588632), (-0.5781962, 44.8606456), (-0.5807027, 44.8603908), (-0.5803632, 44.8586084)]","POLYGON ((-0.5803632 44.8586084, -0.5778567 44.8588632, -0.5781962 44.8606456, -0.5807027 44.8603908, -0.5803632 44.8586084))",Chartrons - Grand Parc - Jardin Public
663884,['33063'],833.5,520.0,70.0,311.0,8.0,118.0,58.0,18392468.6,30317.0,513.0,7.0,7.0,0.0,74.0,439.0,74.0,31.0,16.0,27.5,45.5,96.5,368.0,143.0,49.0,44.0,12.0,"[(-0.5678307, 44.8598816), (-0.5653242, 44.860136), (-0.5656633, 44.8619184), (-0.5681699, 44.861664), (-0.5678307, 44.8598816)]","POLYGON ((-0.5678307 44.8598816, -0.5653242 44.860136, -0.5656633 44.8619184, -0.5681699 44.861664, -0.5678307 44.8598816))",Bordeaux Maritime
664454,['33063'],758.5,386.0,81.0,183.0,19.0,87.0,42.0,16746166.5,24413.0,362.0,24.0,38.0,1.0,0.0,347.0,104.0,61.0,22.0,39.0,51.5,78.0,306.0,120.0,41.0,34.0,6.0,"[(-0.56065, 44.8624272), (-0.5581433, 44.8626814), (-0.5584822, 44.8644639), (-0.560989, 44.8642096), (-0.56065, 44.8624272)]","POLYGON ((-0.56065 44.8624272, -0.5581433 44.8626814, -0.5584822 44.8644639, -0.560989 44.8642096, -0.56065 44.8624272))",Bordeaux Maritime
664971,"['33063', '33069']",199.5,82.0,6.0,22.0,3.0,48.0,11.0,6147130.8,7707.0,20.0,62.0,10.0,25.0,10.0,37.0,0.0,8.0,5.5,17.5,15.0,16.5,44.0,42.0,30.0,19.0,2.0,"[(-0.6111199, 44.8591114), (-0.6086136, 44.8593668), (-0.608954, 44.8611491), (-0.6114605, 44.8608936), (-0.6111199, 44.8591114)]","POLYGON ((-0.6111199 44.8591114, -0.6086136 44.8593668, -0.608954 44.8611491, -0.6114605 44.8608936, -0.6111199 44.8591114))",Caudéran
666066,['33063'],103.0,48.0,2.0,16.0,2.0,33.0,4.0,3540542.1,5036.0,14.0,34.0,9.0,10.0,20.0,9.0,0.0,1.0,1.0,4.0,3.0,11.0,16.0,18.0,16.0,22.0,11.0,"[(-0.6243333, 44.8613974), (-0.6218269, 44.8616532), (-0.6221678, 44.8634354), (-0.6246743, 44.8631796), (-0.6243333, 44.8613974)]","POLYGON ((-0.6243333 44.8613974, -0.6218269 44.8616532, -0.6221678 44.8634354, -0.6246743 44.8631796, -0.6243333 44.8613974))",Caudéran
666655,"['33063', '33069', '33075']",104.5,49.0,10.0,20.0,3.0,6.0,15.0,1950354.1,3696.0,38.0,11.0,4.0,2.0,4.0,39.0,38.0,6.0,4.0,6.0,11.5,5.0,29.0,17.0,11.0,12.0,3.0,"[(-0.5770477, 44.8680298), (-0.5745408, 44.8682844), (-0.5748803, 44.8700668), (-0.5773872, 44.8698121), (-0.5770477, 44.8680298)]","POLYGON ((-0.5770477 44.8680298, -0.5745408 44.8682844, -0.5748803 44.8700668, -0.5773872 44.8698121, -0.5770477 44.8680298))",Bordeaux Maritime
