gid,nb_ind,nb_men,nb_men_prop,nb_men_hab_col,nb_men_hab_ind,polygone,geometry,nom_quartier_parent,nb_logements,nb_jeunes_actifs,nb_seniors,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total_vente,moyenne_ventes_annuelle,taux_proprio,taux_rotation,indice_seniors,indice_jeunes,taux_proprio_n,taux_rotation_n,indice_seniors_n,indice_jeunes_n,score_final
664989,2.0,0.7,0.4,0.3,0.4,"[(-0.5660025, 44.8637009), (-0.5634957, 44.8639553), (-0.5638348, 44.8657377), (-0.5663416, 44.8654833), (-0.5660025, 44.8637009)]","POLYGON ((-0.5660025 44.8637009, -0.5634957 44.8639553, -0.5638348 44.8657377, -0.5663416 44.8654833, -0.5660025 44.8637009))",Bordeaux Maritime,0.7,1.1,0.5,3.0,0.0,0.0,0.0,0.0,131.0,97.0,76.0,10.0,1.0,0.0,318.0,26.5,0.5714285714285715,37.85714285714286,0.25,0.55,0.6007326007326008,1.0,0.3143643283275046,0.5555524861878453,65.64621488500879
664963,167.0,69.0,65.0,0.0,69.0,"[(-0.63117, 44.8570653), (-0.6286638, 44.8573213), (-0.6290049, 44.8591035), (-0.6315112, 44.8588475), (-0.63117, 44.8570653)]","POLYGON ((-0.63117 44.8570653, -0.6286638 44.8573213, -0.6290049 44.8591035, -0.6315112 44.8588475, -0.63117 44.8570653))",Caudéran,69.0,52.0,89.0,0.0,20.0,0.0,2.0,5.0,1.0,0.0,6.0,4.0,6.0,1.0,45.0,3.75,0.9420289855072463,0.05434782608695652,0.5329341317365269,0.31137724550898205,0.9903381642512077,0.0014331526087751672,0.746041141333872,0.18364376219935818,52.38030958672334
662189,95.0,40.0,36.0,1.0,39.0,"[(-0.6319703, 44.8478985), (-0.6294645, 44.8481544), (-0.6298055, 44.8499366), (-0.6323114, 44.8496806), (-0.6319703, 44.8478985)]","POLYGON ((-0.6319703 44.8478985, -0.6294645 44.8481544, -0.6298055 44.8499366, -0.6323114 44.8496806, -0.6319703 44.8478985))",Caudéran,39.0,27.0,52.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,5.0,1.0,2.0,0.0,17.0,1.42,0.9,0.03641025641025641,0.5473684210526316,0.28421052631578947,0.9461538461538462,0.0009593288508438334,0.7680637512316072,0.14130270427449837,50.62498006965955
668364,71.5,29.0,26.0,0.0,29.0,"[(-0.5429651, 44.8769372), (-0.5404577, 44.877191), (-0.5407962, 44.8789735), (-0.5433037, 44.8787197), (-0.5429651, 44.8769372)]","POLYGON ((-0.5429651 44.8769372, -0.5404577 44.877191, -0.5407962 44.8789735, -0.5433037 44.8787197, -0.5429651 44.8769372))",Bordeaux Maritime,31.0,32.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,11.0,0.92,0.896551724137931,0.02967741935483871,0.4195804195804196,0.44755244755244755,0.942528735632184,0.0007814798884349955,0.5730956967328085,0.3958814665996986,50.41208607743114
663294,109.0,40.0,38.0,4.0,36.0,"[(-0.6050861, 44.8542754), (-0.60258, 44.8545308), (-0.6029202, 44.8563131), (-0.6054265, 44.8560577), (-0.6050861, 44.8542754)]","POLYGON ((-0.6050861 44.8542754, -0.60258 44.8545308, -0.6029202 44.8563131, -0.6054265 44.8560577, -0.6050861 44.8542754))",Caudéran,40.0,45.0,41.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,9.0,0.75,0.95,0.01875,0.3761467889908257,0.41284403669724773,0.9987179487179487,0.0004928303669824448,0.5068283605329066,0.3417862030513457,50.233273372566
649741,1.0,0.6,0.5,0.1,0.5,"[(-0.5568556, 44.8155742), (-0.554351, 44.8158284), (-0.5546893, 44.8176109), (-0.557194, 44.8173567), (-0.5568556, 44.8155742)]","POLYGON ((-0.5568556 44.8155742, -0.554351 44.8158284, -0.5546893 44.8176109, -0.557194 44.8173567, -0.5568556 44.8155742))",Bordeaux Sud,0.6,0.30000000000000004,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.8333333333333334,0.13333333333333333,0.6000000000000001,0.30000000000000004,0.8760683760683762,0.003519567353923396,0.8483645340464927,0.1659116022099448,50.2239448970899
649106,14.0,8.1,6.5,1.6,6.5,"[(-0.5540127, 44.8140458), (-0.5515081, 44.8142999), (-0.5518463, 44.8160825), (-0.554351, 44.8158284), (-0.5540127, 44.8140458)]","POLYGON ((-0.5540127 44.8140458, -0.5515081 44.8142999, -0.5518463 44.8160825, -0.554351 44.8158284, -0.5540127 44.8140458))",Bordeaux Sud,8.1,4.300000000000001,8.100000000000001,0.0,1.0,2.0,1.0,0.0,0.0,1.0,40.0,34.0,70.0,5.0,154.0,12.83,0.8024691358024691,1.5839506172839506,0.5785714285714286,0.3071428571428572,0.8436213991769548,0.04183785378792332,0.8156706439004322,0.17704419889502773,49.750960446265175
650369,8.0,4.6,3.7,0.9,3.7,"[(-0.5546893, 44.8176109), (-0.5521846, 44.817865), (-0.5525229, 44.8196475), (-0.5550277, 44.8193934), (-0.5546893, 44.8176109)]","POLYGON ((-0.5546893 44.8176109, -0.5521846 44.817865, -0.5525229 44.8196475, -0.5550277 44.8193934, -0.5546893 44.8176109))",Bordeaux Sud,4.6,2.4,4.699999999999999,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,52.0,11.0,69.0,5.75,0.8043478260869567,1.25,0.5874999999999999,0.3,0.8455964325529545,0.03301649508120248,0.8292930981279572,0.16591160220994472,49.66090598749779
665484,112.5,41.0,39.0,0.0,41.0,"[(-0.6390298, 44.8580792), (-0.6365236, 44.8583354), (-0.636865, 44.8601175), (-0.6393713, 44.8598614), (-0.6390298, 44.8580792)]","POLYGON ((-0.6390298 44.8580792, -0.6365236 44.8583354, -0.636865 44.8601175, -0.6393713 44.8598614, -0.6390298 44.8580792))",Caudéran,41.0,58.0,30.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.83,0.9512195121951219,0.02024390243902439,0.26666666666666666,0.5155555555555555,1.0,0.00053229203767693,0.3397929095522183,0.5018686310620012,49.339856418104695
660535,34.0,14.0,12.7,3.1,10.9,"[(-0.6284415, 44.8428079), (-0.6259359, 44.8430637), (-0.6262768, 44.8448459), (-0.6287825, 44.8445901), (-0.6284415, 44.8428079)]","POLYGON ((-0.6284415 44.8428079, -0.6259359 44.8430637, -0.6262768 44.8448459, -0.6287825 44.8445901, -0.6284415 44.8428079))",Caudéran,14.0,14.600000000000001,12.8,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,9.0,0.75,0.9071428571428571,0.05357142857142857,0.3764705882352941,0.4294117647058824,0.9536630036630037,0.0014126439448320326,0.5073223858562145,0.367608059798505,49.08115306065196
660011,22.0,9.0,8.2,1.9,7.1,"[(-0.6281006, 44.8410256), (-0.6255951, 44.8412815), (-0.6259359, 44.8430637), (-0.6284415, 44.8428079), (-0.6281006, 44.8410256)]","POLYGON ((-0.6281006 44.8410256, -0.6255951 44.8412815, -0.6259359 44.8430637, -0.6284415 44.8428079, -0.6281006 44.8410256))",Caudéran,9.0,9.399999999999999,8.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.42,0.911111111111111,0.04666666666666666,0.3727272727272727,0.4272727272727272,0.9578347578347577,0.001230253560164422,0.5016111537094873,0.3642742340532394,49.057460716009786
659499,186.5,79.0,70.0,8.0,71.0,"[(-0.6177379, 44.8402665), (-0.6152324, 44.8405222), (-0.6155729, 44.8423044), (-0.6180785, 44.8420488), (-0.6177379, 44.8402665)]","POLYGON ((-0.6177379 44.8402665, -0.6152324 44.8405222, -0.6155729 44.8423044, -0.6180785 44.8420488, -0.6177379 44.8402665))",Caudéran,79.0,69.0,83.0,4.0,2.0,1.0,7.0,4.0,0.0,7.0,6.0,4.0,5.0,0.0,40.0,3.33,0.8860759493670886,0.04215189873417722,0.4450402144772118,0.3699731903485255,0.9315157416423239,0.0011109952466628592,0.6119400844826663,0.2749692651785582,48.99972148221291
663284,88.5,40.0,36.0,0.0,40.0,"[(-0.6301466, 44.8517188), (-0.6276406, 44.8519747), (-0.6279817, 44.8537569), (-0.6304877, 44.853501), (-0.6301466, 44.8517188)]","POLYGON ((-0.6301466 44.8517188, -0.6276406 44.8519747, -0.6279817 44.8537569, -0.6304877 44.853501, -0.6301466 44.8517188))",Caudéran,40.0,26.0,42.0,11.0,23.0,23.0,17.0,12.0,13.0,10.0,29.0,21.0,12.0,2.0,173.0,14.42,0.9,0.3605,0.4745762711864407,0.2937853107344633,0.9461538461538462,0.009520211009487783,0.657003685507969,0.15622561413365796,48.884448867833505
664967,65.5,24.0,22.0,1.0,23.0,"[(-0.6211451, 44.8580888), (-0.6186388, 44.8583445), (-0.6189796, 44.8601268), (-0.621486, 44.859871), (-0.6211451, 44.8580888)]","POLYGON ((-0.6211451 44.8580888, -0.6186388 44.8583445, -0.6189796 44.8601268, -0.621486 44.859871, -0.6211451 44.8580888))",Caudéran,24.0,33.0,19.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,10.0,0.83,0.9166666666666666,0.034583333333333334,0.2900763358778626,0.5038167938931297,0.9636752136752137,0.0009110703869961036,0.3755093900510528,0.4835730251781872,48.51974776893622
